sim_time,id
17.233334232,0
40.116668758,1
65.433336745,2
90.950004743,3
136.083340430,4
160.750008383,504
186.833343077,5
241.383345922,0
265.133347161,1
289.700015109,2
315.733349800,3
350.183351596,4
400.816687570,5
436.583356102,0
459.783357312,1
485.100025299,2
511.616693349,3
535.266694582,4
591.566697519,5
632.550032990,0
655.400034181,1
680.383368818,2
682.100035574,340
706.450036844,3
740.250038607,4
791.116707926,5
827.100043136,0
850.350044349,1
874.800045624,2
908.300047371,3
932.183381950,4
995.950051942,5
1032.216720500,0
1046.683387922,458
1054.683388339,1
1079.766722980,2
1106.100057687,3
1134.250059155,4
1185.366728488,5
1220.916730342,0
1243.700064864,1
1269.500066209,2
1295.083400877,3
1319.066735461,4
1369.350071417,5
